abr,network,segment size (s),rebuffering_count,rebuffering_mean,rebuffering_std,rebuffering_skew,rebuffering_max,rebuffering_sum,qualitychange_mean,qualitychange_skew,qualitychange_count,qualitychange_sum,qualitychange_std,qualitychange_max,latency_mean,latency_std,latency_skew,latency_min,latency_median,latency_max,bitrate_mean,bitrate_std,bitrate_skew,bitrate_min,bitrate_median,bitrate_max,bw_mean,bw_std,buffer_mean,buffer_std,resolution_mean,resolution_std,resolution_skew,resolution_min,resolution_median,resolution_max
l2a,low_bandwidth,2,0,0,0,0,0,0,427500,5.615524649,6,2565000,89045.22955,735000,4.521202749,0.8521926305,0.6179133676,0,4.019,6.596,416476.5101,134482.8726,2.473258734,365000,365000,1100000,1623.750865,442.1527752,2.196916107,0.9924431251,360.8053691,9.830783046,12.08332557,360,360,480
l2a,low_bandwidth,2,0,0,0,0,0,0,366428.5714,4.31537975,7,2565000,77302.6077,370000,5.006410169,1.489703262,1.011341445,0,4.02,9.079,427631.5789,172827.0461,2.80384562,365000,365000,1100000,1695.722603,358.878975,3.088775168,1.300928909,364.7368421,23.44353138,4.730161649,360,360,480
l2a,low_bandwidth,2,0,0,0,0,0,0,411875,4.714826301,8,3295000,97698.57584,735000,6.994626712,2.409713432,0.3580850567,0,6.781,12.772,446140.9396,199313.1117,2.390791985,365000,365000,1100000,1634.92069,473.7447197,4.235010067,2.547372752,367.2483221,28.68418578,3.690506912,360,360,480
l2a,low_bandwidth,2,0,0,0,0,0,0,367000,5.238136958,5,1835000,65676.41951,370000,4.969479866,1.677554186,1.734910283,4.016,4.017,10.274,420065.3595,167074.2694,3.100709683,365000,365000,1100000,1671.010274,422.210396,3.068838926,1.157247652,364.7058824,23.36942513,4.747716959,360,360,480
throughput,amazonfcc,2,11,1.146363636,1.896060509,1.885566669,6.06,12.61,1106818.182,3.304568983,11,12175000,494200.3973,2635000,43.24534343,47.1616413,0.909790367,4.018,22.204,152.536,662397.2603,579558.0869,2.484839882,365000,365000,3000000,2321.310811,2203.520505,1.060634228,1.449649591,404.3835616,102.9696058,2.401270189,360,360,720
throughput,amazonfcc,2,55,2.231090909,2.371797781,1.379881132,11.65,122.71,1573181.818,2.981908731,33,51915000,951766.4689,5270000,28.38599329,5.696417884,-2.003182508,4.686,30.0915,36.003,1643906.25,1424954.888,0.9913087067,365000,1100000,6000000,3393.804196,2591.701609,0.9462818792,1.488791386,572.8125,235.8130098,0.7685899544,360,480,1080
throughput,amazonfcc,2,15,0.6373333333,1.500135549,3.474396145,6.06,9.56,1107777.778,3.075374471,36,39880000,645877.7859,4135000,25.79989226,4.729306771,-2.339790842,4.721,27.569,29.966,1034000,816278.227,1.18639648,365000,730000,4500000,2312.776632,1775.105827,1.956110738,2.49395011,485.1428571,161.4925248,0.9527393129,360,360,1080
throughput,amazonfcc,2,18,4.173333333,13.88018605,3.825975229,59.55,75.12,1787031.25,2.781168581,32,57185000,1192757.337,5635000,29.24866443,19.04192456,1.351389523,4.842,27.037,89.553,1967889.908,1366839.808,1.120064486,365000,2000000,6000000,4494.496622,3828.402789,1.019053691,1.389522951,630.8256881,208.7446093,0.2373308528,360,720,1080
throughput,amazonfcc,2,27,2.357037037,4.537879728,1.826626407,14.15,63.64,1947656.25,2.275674386,32,62325000,1097825.652,5270000,23.93424497,9.310992442,-0.1996679657,4.868,26.597,43.78,1860478.261,1667322.28,1.174385603,365000,2000000,6000000,7285.56229,32865.90609,1.962892617,2.515139957,609.3913043,244.7672971,0.5477350477,360,720,1080
throughput,amazonfcc,2,41,1.352439024,1.971508027,2.923198669,10.64,55.45,1466538.462,2.930424025,39,57195000,884740.5676,5635000,23.17463758,8.630832407,-0.8492035566,4.056,26.1465,39.938,1393446.97,1458404.981,1.603382436,365000,365000,6000000,6979.909091,12259.12136,1.289526846,1.61847575,530.9090909,227.8390169,1.104857096,360,360,1080
throughput,amazonfcc,2,25,0.5992,0.9012857483,3.021353975,4.31,14.98,1520666.667,2.373967946,30,45620000,993490.6325,5635000,44.70071717,36.62108816,1.150461242,4.75,29.2,138.763,1308937.5,1096043.429,1.44563569,365000,730000,6000000,4413.283276,2621.472971,1.540604027,2.695336167,526.5,192.3544987,0.6691792827,360,360,1080
throughput,amazonfcc,2,21,2.695238095,2.217098597,0.09688179016,6,56.6,1103055.556,2.30066456,18,19855000,630750.8245,2635000,46.46810738,42.21367556,0.9251254151,4.019,31.584,148.084,784029.8507,490221.9958,1.938393313,365000,730000,3000000,2321.310811,2203.520505,0.8756577181,2.060152947,415.5223881,94.18363079,2.018556809,360,360,720
throughput,amazonfcc,2,48,2.914375,5.212907428,4.122058659,31.94,139.89,1862272.727,2.346351474,33,61455000,1182848.66,5635000,27.91416779,11.18596068,0.01964060384,4.859,30.055,61.076,1536714.286,1647914.45,1.417220964,365000,365000,6000000,5959.488215,8662.872722,1.047020134,1.964066327,549.7142857,252.8014467,0.9961294883,360,360,1080
throughput,amazonfcc,2,17,3.061764706,6.35542803,3.02527423,26.06,52.05,1061428.571,1.898307981,7,7430000,763444.2081,2635000,110.6005403,74.2531362,0.3092408016,4.762,101.375,249.875,1148888.889,1000075.814,0.9840583765,365000,730000,3000000,2142.658088,651.7701562,0.1519966443,0.9564108886,480,159.4106794,0.7745966692,360,360,720
throughput,cascade20,2,41,1.254878049,1.155480683,0.8796716556,4.59,51.45,645416.6667,2.770431233,24,15490000,274647.7896,1635000,22.05082432,7.295823229,-0.5880335712,4.897,22.744,34.262,970035.2113,619319.1459,0.6573452591,365000,730000,2000000,1885.477816,1331.650857,2.386419463,2.152223995,470.7042254,141.5348885,0.9571323774,360,360,720
throughput,cascade20,2,0,0,0,0,0,0,778928.5714,3.541538155,14,10905000,248573.018,1270000,4.091945946,0.2404138461,3.353171499,4.018,4.019,5.225,910032.8947,926814.2217,1.464898597,365000,365000,3000000,4072.735593,1866.213434,2.212355705,0.8936242107,443.6842105,148.125972,1.289789385,360,360,720
throughput,cascade20,2,0,0,0,0,0,0,864583.3333,5.919154338,12,10375000,300970.9783,2635000,4.510625,0.8951189134,1.735879064,4.016,4.018,7.541,551307.1895,507864.7157,3.305217116,365000,365000,3000000,2041.810169,1176.265576,2.479728188,1.064514892,388.2352941,91.06184746,3.205560551,360,360,720
throughput,cascade20,2,0,0,0,0,0,0,645250,3.578326575,20,12905000,258671.1883,1635000,6.476406143,2.585506482,0.6215993922,0,5.768,12.58,764144.7368,567489.1767,1.489200178,365000,365000,3000000,4130.906897,2304.918417,2.730979866,1.865872347,426.3157895,120.2298252,1.737770395,360,360,720
throughput,cascade20,2,0,0,0,0,0,0,368333.3333,6.85758917,3,1105000,51740.50075,370000,4.095057823,0.3048776178,4.138526961,4.016,4.017,5.659,423311.2583,185255.5779,3.087632037,365000,365000,1100000,4815.027304,1633.598142,2.971771812,0.7301845311,367.1523179,28.50444371,3.720370688,360,360,480
throughput,cascade20,2,0,0,0,0,0,0,981000,8.380591082,5,4905000,217158.8314,2270000,4.068290541,0.1941831305,3.943363805,4.018,4.018,4.94,563815.7895,559038.8324,3.098711607,365000,365000,3000000,4072.216949,1966.300364,2.549553691,0.7777917927,393.1578947,98.81698283,2.878494014,360,360,720
